ID	Language_ID	Parameter_ID	Form	Value	Segments
hin-552_gentle-1	hin	552_gentle	nəmr	नम्र	n ə m r
hin-746_beill-1	hin	746_beill	biːmaːr hoːnaː	बीमार होना	b iː m aː r + h oː n aː
hin-63_water-1	hin	63_water	d͡ʒəl	जल	dʒ ə l
hin-453_evening-2	hin	453_evening	səndʰjaː	संध्या	s ə n dʰ j aː
hin-58_moon-2	hin	58_moon	t͡ʃəndr	चंद्र	tʃ ə n d r
hin-199_grandfather-1	hin	199_grandfather	daːdaː	दादा	d aː d aː
hin-642_he-1	hin	642_he	jəh	यह	j ə h
hin-513_closed-1	hin	513_closed	bənd	बंद	b ə n d
hin-742_wakeup-1	hin	742_wakeup	d͡ʒaːɡnaː	जागना	dʒ aː g n aː
hin-805_taste-1	hin	805_taste	t͡ʃəkʰnaː	चखना	tʃ ə kʰ n aː
hin-221_mind-3	hin	221_mind	bʊdʰːɪ	बुद्धि	b ʊ dʰː ɪ
hin-541_slim-2	hin	541_slim	t͡ʃʰərəhəraː	छरहरा	tʃʰ ə r ə h ə r aː
hin-111_root-1	hin	111_root	muːl	मूल	m uː l
hin-564_new-1	hin	564_new	nəjaː	नया	n ə j aː
hin-1_eye-1	hin	1_eye	ãːkʰ	आँख	ãː kʰ
hin-368_button-1	hin	368_button	bəʈən	बटन	b ə ʈ ə n
hin-204_son-2	hin	204_son	pʊtr	पुत्र	p ʊ t r
hin-538_strong-1	hin	538_strong	prəbəl	प्रबल	p r ə b ə l
hin-57_sun-2	hin	57_sun	suːrəd͡ʒ	सूरज	s uː r ə dʒ
hin-150_chicken-1	hin	150_chicken	mʊrɣiː	मुर्ग़ी	m ʊ r ɣ iː
hin-269_middle-1	hin	269_middle	biːt͡ʃ	बीच	b iː tʃ
hin-218_spirit-2	hin	218_spirit	praːɳ	प्राण	p r aː ɳ
hin-488_thick-1	hin	488_thick	moːʈaː	मोटा	m oː ʈ aː
hin-698_smoke-1	hin	698_smoke	dʰʊãː ʊɽaːnaː	धुआँ उड़ाना	dʰ ʊ ãː + ʊ ɽ aː n aː
hin-960_cook-1	hin	960_cook	pəkaːnaː	पकाना	p ə k aː n aː
hin-691_stream-2	hin	691_stream	prəvaːhɪt hoːnaː	प्रवाहित होना	p r ə v aː h ɪ t + h oː n aː
hin-543_evil-2	hin	543_evil	dʊʂʈ	दुष्ट	d ʊ ʂ ʈ
hin-80_chill-1	hin	80_chill	sərdiː	सर्दी	s ə r d iː
hin-786_find-1	hin	786_find	paːnaː	पाना	p aː n aː
hin-868_shake-1	hin	868_shake	hɪlaːnaː	हिलाना	h ɪ l aː n aː
hin-191_sand-2	hin	191_sand	baːluː	बालू	b aː l uː
hin-54_sleep-2	hin	54_sleep	nɪdraː	निद्रा	n ɪ d r aː
hin-261_line-1	hin	261_line	laːɪn	लाइन	l aː ɪ n
hin-786_find-2	hin	786_find	dʰũːɽ nɪkaːlnaː	ढूँढ़ निकालना	dʰ ũː ɽ + n ɪ k aː l n aː
hin-797_beafraidof-2	hin	797_beafraidof	bʰəj kʰaːnaː seː	भय खाना से	bʰ ə j + kʰ aː n aː + s eː
hin-825_touch-1	hin	825_touch	t͡ʃʰuːnaː	छूना	tʃʰ uː n aː
hin-453_evening-1	hin	453_evening	ɕaːm	शाम	ɕ aː m
hin-19_head-1	hin	19_head	sɪr	सिर	s ɪ r
hin-814_want-1	hin	814_want	t͡ʃaːhnaː	चाहना	tʃ aː h n aː
hin-738_swallow-1	hin	738_swallow	nɪɡələnaː	निगलना	n ɪ g ə l ə n aː
hin-46_heart-1	hin	46_heart	dɪl	दिल	d ɪ l
hin-474_monday-1	hin	474_monday	piːr	पीर	p iː r
hin-66_earth-1	hin	66_earth	bʰuːmɪ	भूमि	bʰ uː m ɪ
hin-1014_pay-1	hin	1014_pay	ədaː kərənaː	अदा करना	ə d aː + k ə r ə n aː
hin-51_tear-1	hin	51_tear	ãːsuː	आँसू	ãː s uː
hin-134_cow-1	hin	134_cow	ɡɔː	गौ	g ɔː
hin-391_force-2	hin	391_force	ɕəktɪ	शक्ति	ɕ ə k t ɪ
hin-610_thither-1	hin	610_thither	ʊdʰər koː	उधर को	ʊ dʰ ə r + k oː
hin-451_morning-1	hin	451_morning	sʊbəh	सुबह	s ʊ b ə h
hin-666_thirty-1	hin	666_thirty	tiːs	तीस	t iː s
hin-355_fat-2	hin	355_fat	t͡ʃərbiː	चरबी	tʃ ə r b iː
hin-253_matter-2	hin	253_matter	maːmlaː	मामला	m aː m l aː
hin-993_think-1	hin	993_think	soːt͡ʃnaː	सोचना	s oː tʃ n aː
hin-658_six-1	hin	658_six	t͡ʃʰəh	छह	tʃʰ ə h
hin-215_grief-2	hin	215_grief	dʊxkʰ	दुःख	d ʊ x kʰ
hin-209_aunt-2	hin	209_aunt	pʰuːpʰiː	फूफी	pʰ uː pʰ iː
hin-289_sleigh-1	hin	289_sleigh	bərfɡaːɽiː	बर्फ़-गाड़ी	b ə r f g aː ɽ iː
hin-613_backward-1	hin	613_backward	piːt͡ʃʰeː koː	पीछे को	p iː tʃʰ eː + k oː
hin-976_takeoff-1	hin	976_takeoff	ʊtaːrnaː	उतारना	ʊ t aː r n aː
hin-660_eight-1	hin	660_eight	aːʈʰ	आठ	aː ʈʰ
hin-73_weather-2	hin	73_weather	mɔːsəm	मौसम	m ɔː s ə m
hin-88_dirt-1	hin	88_dirt	ɡənd	गंद	g ə n d
hin-551_merry-1	hin	551_merry	hãsmʊkʰ	हँसमुख	h ã s m ʊ kʰ
hin-95_elevation-2	hin	95_elevation	pəhaːɽiː	पहाड़ी	p ə h aː ɽ iː
hin-304_stick-1	hin	304_stick	laːʈʰiː	लाठी	l aː ʈʰ iː
hin-543_evil-1	hin	543_evil	paːpiː	पापी	p aː p iː
hin-32_nail-1	hin	32_nail	nəkʰ	नख	n ə kʰ
hin-259_circle-1	hin	259_circle	t͡ʃəkːər	चक्कर	tʃ ə kː ə r
hin-534_precious-1	hin	534_precious	qiːmətiː	क़ीमती	q iː m ə t iː
hin-457_year-1	hin	457_year	bərəs	बरस	b ə r ə s
hin-274_corner-2	hin	274_corner	nʊkːəɽ	नुक्कड़	n ʊ kː ə ɽ
hin-81_heat-1	hin	81_heat	taːp	ताप	t aː p
hin-42_vein-1	hin	42_vein	rəɡ	रग	r ə g
hin-839_alter-2	hin	839_alter	pəriːwərtənə kərənaː	परीवर्तन करना	p ə r iː w ə r t ə n ə + k ə r ə n aː
hin-689_thunder-1	hin	689_thunder	ɡərəd͡ʒnaː	गरजना	g ə r ə dʒ n aː
hin-685_change-1	hin	685_change	bədəlnaː	बदलना	b ə d ə l n aː
hin-610_thither-2	hin	610_thither	vəhãː koː	वहाँ को	v ə h ãː + k oː
hin-1005_calculate-1	hin	1005_calculate	ɡəɳənaː kərənaː	गणना करना	g ə ɳ ə n aː + k ə r ə n aː
hin-874_drag-1	hin	874_drag	ɡʰəsiːʈnaː	घसीटना	gʰ ə s iː ʈ n aː
hin-621_alittle-1	hin	621_alittle	kʊt͡ʃʰ	कुछ	k ʊ tʃʰ
hin-346_kettle-2	hin	346_kettle	bəʈloːiː	बटलोई	b ə ʈ l oː iː
hin-427_benefit-2	hin	427_benefit	faːjdaː	फ़ायदा	f aː j d aː
hin-252_companion-2	hin	252_companion	kaːməreːɖ	कामरेड	k aː m ə r eː ɖ
hin-959_ripen-1	hin	959_ripen	pəkənaː	पकना	p ə k ə n aː
hin-507_damp-1	hin	507_damp	nəm	नम	n ə m
hin-416_god-2	hin	416_god	iːɕwər	ईश्वर	iː ɕ w ə r
hin-178_peelhusk-1	hin	178_peelhusk	bəklaː	बकला	b ə k l aː
hin-843_spin-2	hin	843_spin	ɡʰʊmaːnaː	घुमाना	gʰ ʊ m aː n aː
hin-532_cheap-1	hin	532_cheap	səstaː	सस्ता	s ə s t aː
hin-18_nape-2	hin	18_nape	ɡriːvaː	ग्रीवा	g r iː v aː
hin-323_broom-1	hin	323_broom	d͡ʒʰaːɽuː	झाड़ू	dʒʰ aː ɽ uː
hin-28_hand-1	hin	28_hand	haːtʰ	हाथ	h aː tʰ
hin-121_fir-1	hin	121_fir	fər	फ़र	f ə r
hin-599_before-2	hin	599_before	peːɕtər	पेशतर	p eː ɕ t ə r
hin-988_convey-1	hin	988_convey	xəbərə deːnaː	ख़बर देना	x ə b ə r ə + d eː n aː
hin-98_cave-2	hin	98_cave	ɡʊfaː	गुफ़ा	g ʊ f aː
hin-1002_forget-2	hin	1002_forget	bɪsaːrnaː	बिसारना	b ɪ s aː r n aː
hin-356_butter-1	hin	356_butter	məkʰːən	मक्खन	m ə kʰː ə n
hin-969_wash-1	hin	969_wash	dʰoːnaː	धोना	dʰ oː n aː
hin-987_tell-1	hin	987_tell	bətaːnaː	बताना	b ə t aː n aː
hin-66_earth-2	hin	66_earth	zəmiːn	ज़मीन	z ə m iː n
hin-999_learn-1	hin	999_learn	pəɽʰnaː	पढ़ना	p ə ɽʰ n aː
hin-461_winter-1	hin	461_winter	d͡ʒaːɽaː	जाड़ा	dʒ aː ɽ aː
hin-265_area-1	hin	265_area	ɪlaːqaː	इलाक़ा	ɪ l aː q aː
hin-302_supportrest-1	hin	302_supportrest	ʈeːk	टेक	ʈ eː k
hin-7_lip-1	hin	7_lip	õːʈʰ	ओंठ	õː ʈʰ
hin-706_decay-1	hin	706_decay	ɡəlnaː	गलना	g ə l n aː
hin-423_business-1	hin	423_business	sɔːdaː	सौदा	s ɔː d aː
hin-321_roof-2	hin	321_roof	t͡ʃʰəpːər	छप्पर	tʃʰ ə pː ə r
hin-361_milk-1	hin	361_milk	duːdʰ	दूध	d uː dʰ
hin-915_let-1	hin	915_let	aːnaː	-आना	aː n aː
hin-133_flock-1	hin	133_flock	ɡəlːaː	गल्ला	g ə lː aː
hin-231_puzzle-1	hin	231_puzzle	pəheːliː	पहेली	p ə h eː l iː
hin-448_end-2	hin	448_end	səmaːptɪ	समाप्ति	s ə m aː p t ɪ
hin-920_assemble-1	hin	920_assemble	ɪkəʈʰːaː hoːnaː	इकट्ठा होना	ɪ k ə ʈʰː aː + h oː n aː
hin-802_watch-1	hin	802_watch	dɽʂʈɪ ɖaːlnaː pər	दृष्टि डालना पर	d ɽ ʂ ʈ ɪ + ɖ aː l n aː + p ə r
hin-595_yesterday-1	hin	595_yesterday	kəl	कल	k ə l
hin-152_goose-1	hin	152_goose	həɲs	हंस	h ə ɲ s
hin-397_fever-2	hin	397_fever	bʊxaːr	बुख़ार	b ʊ x aː r
hin-299_wood-1	hin	299_wood	kaːʈʰ	काठ	k aː ʈʰ
hin-687_set-1	hin	687_set	əst hoː d͡ʒaːnaː	अस्त हो जाना	ə s t + h oː + dʒ aː n aː
hin-52_flavour-1	hin	52_flavour	svaːd	स्वाद	s v aː d
hin-767_creep-1	hin	767_creep	rẽːɡnaː	रेंगना	r ẽː g n aː
hin-308_home-2	hin	308_home	ɡɽʰ	गृह	g ɽʰ
hin-301_slab-1	hin	301_slab	pʰələk	फलक	pʰ ə l ə k
hin-412_death-1	hin	412_death	mɔːt	मौत	m ɔː t
hin-607_hither-1	hin	607_hither	ɪdʰərə koː	इधर को	ɪ dʰ ə r ə + k oː
hin-8_cheek-1	hin	8_cheek	ɡaːl	गाल	g aː l
hin-589_later-1	hin	589_later	baːd koː	बाद को	b aː d + k oː
hin-58_moon-1	hin	58_moon	t͡ʃãːd	चाँद	tʃ ãː d
hin-41_blood-2	hin	41_blood	xuːn	ख़ून	x uː n
hin-239_sound-2	hin	239_sound	dʰwənɪ	ध्वनि	dʰ w ə n ɪ
hin-484_short-1	hin	484_short	lədʰʊ	लधु	l ə dʰ ʊ
hin-557_living-1	hin	557_living	d͡ʒiːtaː	जीता	dʒ iː t aː
hin-240_tone-1	hin	240_tone	sʊr	सुर	s ʊ r
hin-13_beard-1	hin	13_beard	daːɽʰiː	दाढ़ी	d aː ɽʰ iː
hin-680_hang-1	hin	680_hang	ləʈəknaː	लटकना	l ə ʈ ə k n aː
hin-350_meat-1	hin	350_meat	maːns	मांस	m aː n s
hin-205_daughter-2	hin	205_daughter	pʊtriː	पुत्री	p ʊ t r iː
hin-94_hill-2	hin	94_hill	pəhaːɽ	पहाड़	p ə h aː ɽ
hin-893_damage-1	hin	893_damage	nʊqəsaːnə pəhũt͡ʃaːnaː	नुक़सान पहुँचाना	n ʊ q ə s aː n ə + p ə h ũ tʃ aː n aː
hin-145_hare-1	hin	145_hare	kʰərəhaː	खरहा	kʰ ə r ə h aː
hin-889_select-1	hin	889_select	t͡ʃʊnːaː	चुनना	tʃ ʊ nː aː
hin-180_trap-1	hin	180_trap	d͡ʒaːl	जाल	dʒ aː l
hin-683_begin-2	hin	683_begin	praːrəmbʰə hoːnaː	प्रारंभ होना	p r aː r ə m bʰ ə + h oː n aː
hin-448_end-1	hin	448_end	ənt	अंत	ə n t
hin-360_honey-1	hin	360_honey	ɕəhəd	शहद	ɕ ə h ə d
hin-331_hook-1	hin	331_hook	əŋkʊɕ	अंकुश	ə ŋ k ʊ ɕ
hin-306_pipe-1	hin	306_pipe	nəl	नल	n ə l
hin-47_stomach-1	hin	47_stomach	meːdaː	मेदा	m eː d aː
hin-389_scarf-1	hin	389_scarf	ruːmaːl	रूमाल	r uː m aː l
hin-171_berry-1	hin	171_berry	beːriː	बेरी	b eː r iː
hin-696_fall-1	hin	696_fall	ɡɪrnaː	गिरना	g ɪ r n aː
hin-501_beautiful-1	hin	501_beautiful	sʊndər	सुंदर	s ʊ n d ə r
hin-524_black-1	hin	524_black	kaːlaː	काला	k aː l aː
hin-124_fur-2	hin	124_fur	pəɕʊt͡ʃərm	पशु-चर्म	p ə ɕ ʊ tʃ ə r m
hin-775_depart-2	hin	775_depart	rəwaːnaː hoːnaː	रवाना होना	r ə w aː n aː + h oː n aː
hin-895_tear-1	hin	895_tear	toːɽnaː	तोड़ना	t oː ɽ n aː
hin-192_human-2	hin	192_human	ɪnsaːn	इनसान	ɪ n s aː n
hin-362_tea-1	hin	362_tea	t͡ʃaːj	चाय	tʃ aː j
hin-697_burn-1	hin	697_burn	d͡ʒəlnaː	जलना	dʒ ə l n aː
hin-137_sheep-1	hin	137_sheep	bʰeːɽ	भेड़	bʰ eː ɽ
hin-506_fresh-1	hin	506_fresh	tər	तर	t ə r
hin-83_rainbow-1	hin	83_rainbow	ɪndrdʰənʊʂ	इंद्र-धनुष	ɪ n d r dʰ ə n ʊ ʂ
hin-688_shine-1	hin	688_shine	roːɕniː deːnaː	रोशनी देना	r oː ɕ n iː + d eː n aː
hin-562_true-1	hin	562_true	sət͡ʃ	सच	s ə tʃ
hin-825_touch-2	hin	825_touch	spərɕə kərənaː	स्पर्श करना	s p ə r ɕ ə + k ə r ə n aː
hin-145_hare-2	hin	145_hare	xərɡoːɕ	ख़रगोश	x ə r g oː ɕ
hin-263_gap-1	hin	263_gap	əntər	अंतर	ə n t ə r
hin-29_palm-1	hin	29_palm	hətʰeːliː	हथेली	h ə tʰ eː l iː
hin-571_famous-2	hin	571_famous	prəsɪdʰː	प्रसिद्ध	p r ə s ɪ dʰː
hin-3_nose-2	hin	3_nose	naːsaː	नासा	n aː s aː
hin-384_strap-2	hin	384_strap	pəʈːaː	पट्टा	p ə ʈː aː
hin-540_fat-2	hin	540_fat	maːnsəl	मांसल	m aː n s ə l
hin-226_fairytale-1	hin	226_fairytale	qɪsːaː	क़िस्सा	q ɪ sː aː
hin-321_roof-1	hin	321_roof	t͡ʃʰət	छत	tʃʰ ə t
hin-414_church-2	hin	414_church	ɡɪrəd͡ʒaː	गिरजा	g ɪ r ə dʒ aː
hin-203_mother-1	hin	203_mother	mãː	माँ	m ãː
hin-319_gate-1	hin	319_gate	pʰaːʈək	फाटक	pʰ aː ʈ ə k
hin-935_kick-1	hin	935_kick	ʈʰoːkərə maːrənaː	ठोकर मारना	ʈʰ oː k ə r ə + m aː r ə n aː
hin-245_work-1	hin	245_work	kaːm	काम	k aː m
hin-894_break-1	hin	894_break	toːɽnaː	तोड़ना	t oː ɽ n aː
hin-354_slice-1	hin	354_slice	kətəlaː	कतला	k ə t ə l aː
hin-42_vein-2	hin	42_vein	ɕɪraː	शिरा	ɕ ɪ r aː
hin-531_colourful-1	hin	531_colourful	rəŋɡiːn	रंगीन	r ə ŋ g iː n
hin-372_shirt-2	hin	372_shirt	qəmiːz	क़मीज़	q ə m iː z
hin-235_word-1	hin	235_word	ɕəbd	शब्द	ɕ ə b d
hin-1013_payfor-2	hin	1013_payfor	ədaː kərənaː	अदा करना	ə d aː + k ə r ə n aː
hin-394_illness-1	hin	394_illness	roːɡ	रोग	r oː g
hin-393_health-2	hin	393_health	təndʊrʊstiː	तंदुरुस्ती	t ə n d ʊ r ʊ s t iː
hin-678_sit-1	hin	678_sit	bɛːʈʰnaː	बैठना	b ɛː ʈʰ n aː
hin-70_fire-2	hin	70_fire	aːtɪɕ	आतिश	aː t ɪ ɕ
hin-263_gap-2	hin	263_gap	faːsəlaː	फ़ासला	f aː s ə l aː
hin-101_brook-1	hin	101_brook	soːtaː	सोता	s oː t aː
hin-188_coal-1	hin	188_coal	koːjəlaː	कोयला	k oː j ə l aː
hin-65_ground-1	hin	65_ground	mɪʈːiː	मिट्टी	m ɪ ʈː iː
hin-811_becold-2	hin	811_becold	sərdiː ləɡnaː	सर्दी लगना	s ə r d iː + l ə g n aː
hin-179_pit-1	hin	179_pit	ɡəɖʰːaː	गड्ढा	g ə ɖʰː aː
hin-500_heavy-2	hin	500_heavy	wəzəniː	वज़नी	w ə z ə n iː
hin-443_lie-2	hin	443_lie	əsətj	असत्य	ə s ə t j
hin-542_pretty-2	hin	542_pretty	xuːbəsuːrət	ख़ूबसूरत	x uː b ə s uː r ə t
hin-325_shovel-2	hin	325_shovel	faːwəɽaː	फावड़ा	f aː w ə ɽ aː
hin-56_sky-2	hin	56_sky	aːsmaːn	आसमान	aː s m aː n
hin-288_oar-1	hin	288_oar	t͡ʃəpːuː	चप्पू	tʃ ə pː uː
hin-510_full-1	hin	510_full	bʰəraː	भरा	bʰ ə r aː
hin-23_bosom-1	hin	23_bosom	kʊt͡ʃ	कुच	k ʊ tʃ
hin-950_fish-1	hin	950_fish	mət͡ʃʰliː pəkəɽnaː	मछली पकड़ना	m ə tʃʰ l iː + p ə k ə ɽ n aː
hin-559_bad-1	hin	559_bad	bʊraː	बुरा	b ʊ r aː
hin-844_turnover-1	hin	844_turnover	pələʈnaː	पलटना	p ə l ə ʈ n aː
hin-491_firmsolid-1	hin	491_firmsolid	dr̥ɽʰ	दृढ़	d r̥ ɽʰ
hin-482_little-2	hin	482_little	t͡ʃʰoːʈaː	छोटा	tʃʰ oː ʈ aː
hin-929_defend-1	hin	929_defend	rəkʂaː kərənaː	रक्षा करना	r ə k ʂ aː + k ə r ə n aː
hin-699_rain-1	hin	699_rain	bərəsnaː	बरसना	b ə r ə s n aː
hin-486_narrow-2	hin	486_narrow	sãkraː	सँकरा	s ã k r aː
hin-530_grey-1	hin	530_grey	dʰuːsər	धूसर	dʰ uː s ə r
hin-420_doctor-2	hin	420_doctor	ɖəkʈər	डॉक्टर	ɖ ə k ʈ ə r
hin-529_green-1	hin	529_green	həraː	हरा	h ə r aː
hin-526_red-1	hin	526_red	laːl	लाल	l aː l
hin-519_sweet-1	hin	519_sweet	miːʈʰaː	मीठा	m iː ʈʰ aː
hin-233_language-1	hin	233_language	bʰaːʂaː	भाषा	bʰ aː ʂ aː
hin-645_they-1	hin	645_they	jeː	ये	j eː
hin-591_today-1	hin	591_today	aːd͡ʒ	आज	aː dʒ
hin-67_dust-1	hin	67_dust	dʰuːl	धूल	dʰ uː l
hin-721_ring-1	hin	721_ring	bəd͡ʒnaː	बजना	b ə dʒ n aː
hin-779_come-1	hin	779_come	aːnaː	आना	aː n aː
hin-272_fringe-1	hin	272_fringe	t͡ʃʰoːr	छोर	tʃʰ oː r
hin-6_tongue-3	hin	6_tongue	d͡ʒɪhvaː	जिह्वा	dʒ ɪ h v aː
hin-834_make-2	hin	834_make	bənaːnaː	बनाना	b ə n aː n aː
hin-770_row-2	hin	770_row	t͡ʃəpːuː t͡ʃəlaːnaː	चप्पू चलाना	tʃ ə pː uː + tʃ ə l aː n aː
hin-411_life-2	hin	411_life	zɪndəɡiː	ज़िंदगी	z ɪ n d ə g iː
hin-477_thursday-1	hin	477_thursday	ɡʊrʊvaːr	गुरुवार	g ʊ r ʊ v aː r
hin-198_family-1	hin	198_family	pərɪvaːr	परिवार	p ə r ɪ v aː r
hin-694_sway-1	hin	694_sway	hɪlnaː	हिलना	h ɪ l n aː
hin-219_thought-1	hin	219_thought	wɪt͡ʃaːr	विचार	w ɪ tʃ aː r
hin-230_name-1	hin	230_name	naːm	नाम	n aː m
hin-23_bosom-2	hin	23_bosom	stən	स्तन	s t ə n
hin-418_boss-1	hin	418_boss	ədʰjəkʂ	अध्यक्ष	ə dʰ j ə k ʂ
hin-17_neck-2	hin	17_neck	ɡərdən	गरदन	g ə r d ə n
hin-737_eat-1	hin	737_eat	kʰaːnaː	खाना	kʰ aː n aː
hin-459_summer-1	hin	459_summer	ɡərmiː	गरमी	g ə r m iː
hin-972_sweep-1	hin	972_sweep	bʊhaːrnaː	बुहारना	b ʊ h aː r n aː
hin-919_meet-1	hin	919_meet	mɪlənaː	मिलना	m ɪ l ə n aː
hin-103_shore-1	hin	103_shore	təʈ	तट	t ə ʈ
hin-279_pattern-1	hin	279_pattern	nəmuːnaː	नमूना	n ə m uː n aː
hin-607_hither-2	hin	607_hither	jəhãː koː	यहाँ को	j ə h ãː + k oː
hin-866_cut-1	hin	866_cut	kətərnaː	कतरना	k ə t ə r n aː
hin-885_get-1	hin	885_get	paːnaː	पाना	p aː n aː
hin-861_hit-1	hin	861_hit	ʈʰoːknaː	ठोकना	ʈʰ oː k n aː
hin-96_mountain-1	hin	96_mountain	pəhaːɽ	पहाड़	p ə h aː ɽ
hin-186_gold-2	hin	186_gold	svərɳ	स्वर्ण	s v ə r ɳ
hin-77_snow-1	hin	77_snow	hɪm	हिम	h ɪ m
hin-283_weight-1	hin	283_weight	bʰaːr	भार	bʰ aː r
hin-566_agedold-1	hin	566_agedold	buːɽʰaː	बूढ़ा	b uː ɽʰ aː
hin-386_leash-1	hin	386_leash	rəsːiː	रस्सी	r ə sː iː
hin-282_height-1	hin	282_height	ʊ̄̃ t͡ʃaːiː	ऊँचाई	ʊ̄ + tʃ aː iː
hin-480_sunday-2	hin	480_sunday	rəvɪvaːr	रविवार	r ə v ɪ v aː r
hin-445_misfortune-2	hin	445_misfortune	wɪpaːtːɪ	विपात्ति	w ɪ p aː tː ɪ
hin-394_illness-2	hin	394_illness	biːmaːriː	बीमारी	b iː m aː r iː
hin-262_stroke-1	hin	262_stroke	ləkiːr	लकीर	l ə k iː r
hin-156_crane-2	hin	156_crane	krɔːɲt͡ʃ	क्रौंंच	k r ɔː ɲ tʃ
hin-574_near-1	hin	574_near	nəzdiːkiː	नज़दीकी	n ə z d iː k iː
hin-6_tongue-2	hin	6_tongue	zəbaːn	ज़बान	z ə b aː n
hin-656_four-1	hin	656_four	t͡ʃaːr	चार	tʃ aː r
hin-214_happiness-2	hin	214_happiness	xʊɕiː	ख़ुशी	x ʊ ɕ iː
hin-619_everywhere-1	hin	619_everywhere	hər d͡ʒəɡəh	हर जगह	h ə r + dʒ ə g ə h
hin-731_groan-1	hin	731_groan	kəraːhnaː	कराहना	k ə r aː h n aː
hin-337_pouch-1	hin	337_pouch	d͡ʒʰoːlaː	झोला	dʒʰ oː l aː
hin-170_butterfly-1	hin	170_butterfly	tɪtəliː	तितली	t ɪ t ə l iː
hin-316_box-1	hin	316_box	peːʈiː	पेटी	p eː ʈ iː
hin-782_stay-2	hin	782_stay	rʊknaː	रुकना	r ʊ k n aː
hin-618_up-1	hin	618_up	uːpər koː	ऊपर को	uː p ə r + k oː
hin-702_melt-2	hin	702_melt	pɪɡʰələnaː	पिघलना	p ɪ gʰ ə l ə n aː
hin-817_stop-2	hin	817_stop	səmaːptə d͡ʒaːnaː	समाप्त जाना	s ə m aː p t ə + dʒ aː n aː
hin-428_wealth-1	hin	428_wealth	dʰən	धन	dʰ ə n
hin-264_distance-1	hin	264_distance	duːriː	दूरी	d uː r iː
hin-628_again-2	hin	628_again	dʊbaːraː	दुबारा	d ʊ b aː r aː
hin-691_stream-1	hin	691_stream	bəhnaː	बहना	b ə h n aː
hin-447_age-2	hin	447_age	ʊmr	उम्र	ʊ m r
hin-705_rot-2	hin	705_rot	səɽənaː	सड़ना	s ə ɽ ə n aː
hin-616_down-1	hin	616_down	niːt͡ʃeː koː	नीचे को	n iː tʃ eː + k oː
hin-317_window-1	hin	317_window	kʰɪɽkiː	खिड़की	kʰ ɪ ɽ k iː
hin-223_reason-1	hin	223_reason	vəd͡ʒəh	वजह	v ə dʒ ə h
hin-596_once-2	hin	596_once	pəhleː kəbʰiː	पहले कभी	p ə h l eː + k ə bʰ iː
hin-757_walk-1	hin	757_walk	t͡ʃəlnaː	चलना	tʃ ə l n aː
hin-192_human-1	hin	192_human	maːnəv	मानव	m aː n ə v
hin-612_forward-2	hin	612_forward	aːɡeː koː	आगे को	aː g eː + k oː
hin-714_increase-1	hin	714_increase	bəɽʰənaː	बढ़ना	b ə ɽʰ ə n aː
hin-505_cool-1	hin	505_cool	ʈʰəɳɖaː	ठंडा	ʈʰ ə ɳ ɖ aː
hin-247_gift-2	hin	247_gift	toːhəfaː	तोहफ़ा	t oː h ə f aː
hin-421_teacher-1	hin	421_teacher	ɕɪkʂək	शिक्षक	ɕ ɪ k ʂ ə k
hin-637_this-1	hin	637_this	jəh	यह	j ə h
hin-518_delicious-2	hin	518_delicious	swaːdɪʂʈ	स्वादिष्ट	s w aː d ɪ ʂ ʈ
hin-573_different-1	hin	573_different	ələɡ	अलग	ə l ə g
hin-914_urge-1	hin	914_urge	həɽbəɽaːnaː	हड़बड़ाना	h ə ɽ b ə ɽ aː n aː
hin-291_campfire-1	hin	291_campfire	əlaːv	अलाव	ə l aː v
hin-221_mind-2	hin	221_mind	əql	अक़्ल	ə q l
hin-467_june-1	hin	467_june	d͡ʒuːn	जून	dʒ uː n
hin-567_young-1	hin	567_young	d͡ʒəvaːn	जवान	dʒ ə v aː n
hin-985_ask-1	hin	985_ask	puːt͡ʃʰnaː	पूछ्ना	p uː tʃʰ n aː
hin-308_home-1	hin	308_home	ɡʰər	घर	gʰ ə r
hin-936_sting-2	hin	936_sting	bʰõːknaː	भोंकना	bʰ õː k n aː
hin-1008_draw-1	hin	1008_draw	t͡ʃɪtrə kĩːt͡ʃənaː	चित्र कींचना	tʃ ɪ t r ə + k ĩː tʃ ə n aː
hin-704_boil-1	hin	704_boil	ʊbəlnaː	उबलना	ʊ b ə l n aː
hin-943_cheat-1	hin	943_cheat	dʰoːkʰaː deːnaː	धोखा देना	dʰ oː kʰ aː + d eː n aː
hin-274_corner-1	hin	274_corner	koːnaː	कोना	k oː n aː
hin-667_forty-1	hin	667_forty	t͡ʃaːliːs	चालीस	tʃ aː l iː s
hin-649_whereto-1	hin	649_whereto	kɪdʰər	किधर	k ɪ dʰ ə r
hin-747_ache-1	hin	747_ache	dʊkʰənaː	दुखना	d ʊ kʰ ə n aː
hin-153_eagle-1	hin	153_eagle	ʊqaːb	उक़ाब	ʊ q aː b
hin-565_former-1	hin	565_former	bʰuːtpuːrv	भूतपूर्व	bʰ uː t p uː r v
hin-546_diligent-2	hin	546_diligent	pərɪɕrəmiː	परिश्रमी	p ə r ɪ ɕ r ə m iː
hin-236_sign-1	hin	236_sign	nɪɕaːn	निशान	n ɪ ɕ aː n
hin-252_companion-1	hin	252_companion	saːtʰiː	साथी	s aː tʰ iː
